# Session DeviceID Occasion X Y Sex
McK18 D82510 1 549384.912233469 4908538.45570621 F
McK18 D82510 1 549078.753948295 4908998.17898754 F
McK18 D82510 1 548736.172784484 4909085.81312568 F
McK18 D82510 1 548848.199521495 4909156.16369007 F
McK18 D82510 1 549770.654956561 4909078.85698291 F
McK18 D82510 1 547181.969579406 4909281.17393057 F
McK18 D82510 1 548567.551106863 4909177.58799282 F
McK18 D82510 1 548814.869262878 4908826.83826982 F
McK18 D82510 1 549106.029730161 4909247.51573568 F
McK18 D82510 1 548917.998952515 4908742.01050492 F
McK18 D82510 1 548829.06137914 4908931.44892323 F
McK18 D82510 1 549114.682113216 4908944.85241131 F
McK18 D82510 1 547475.103936253 4907998.93141077 F
McK18 D82510 1 547268.373436447 4907545.73776523 F
McK18 D82510 1 547090.990097714 4906977.95050562 F
McK18 D82510 1 549063.156836117 4904991.36026024 F
McK18 D82510 1 548963.796723974 4905497.29651334 F
McK18 D82510 1 548062.950554466 4905110.16937318 F
McK18 D82510 1 548036.829000788 4905194.22047259 F
McK18 D82510 1 547908.080862824 4905093.7381263 F
McK18 D82510 1 548675.867333501 4906660.50064973 F
McK18 D82510 1 549093.713124888 4906869.5885358 F
McK18 D82510 1 548966.919233785 4906912.02603176 F
McK18 D82510 1 548765.343718773 4907327.43770018 F
McK18 D82510 1 548907.658021918 4907374.25445967 F
McK18 D82510 1 548886.820654791 4907411.44388065 F
McK18 D82510 1 549220.750699785 4907219.95781414 F
McK18 D82510 1 548979.070698158 4907377.82141385 F
McK18 D82510 1 548762.444029053 4907211.49265326 F
McK18 D82510 1 548654.169953747 4907228.09253354 F
McK18 D82510 1 548785.003392127 4907224.62396925 F
McK18 D82510 1 548521.083527866 4907453.55203237 F
McK18 D82510 1 547903.135801875 4907443.16453112 F
McK18 D82510 1 547862.919180476 4907604.36947263 F
McK18 D82510 1 546707.325041941 4907416.06396519 F
McK18 D82510 1 546609.481827379 4907493.29946924 F
McK18 D82510 1 548244.887253739 4906900.63977303 F
McK18 D82510 1 548040.231803595 4907205.28125773 F
McK18 D82510 1 548064.053048648 4908189.34933036 F
McK18 D82510 1 547826.550387854 4908103.21998086 F
McK18 D82510 1 547310.558119791 4908416.5329804 F
McK18 D82510 1 548590.763586149 4907255.51338389 F
McK18 D82510 1 548299.127639583 4906929.92092234 F
McK18 D82510 1 547348.076640651 4906954.71361929 F
McK18 D82510 1 547147.222634639 4906418.29121231 F
McK18 D82510 1 548052.347699118 4905009.19777635 F
McK18 D82510 1 547889.659091017 4905168.04892277 F
McK18 D82510 1 548593.850652565 4904747.78190594 F
McK18 D82510 1 550249.26849052 4906790.67704462 F
McK18 D82510 1 548919.289698403 4908039.9021409 F
McK18 D82510 1 549131.627829217 4908460.7013498 F
McK18 D82510 1 547605.983137511 4909197.85035694 F
McK18 D82510 1 547142.156531732 4909212.38344041 F
McK18 D82510 1 549370.021150975 4910769.85864256 F
McK18 D82510 1 549415.598391815 4910862.55609251 F
McK18 D82510 1 549387.49496502 4910605.13527141 F
McK18 D82510 1 549735.985012903 4908885.52339394 F
McK18 D82510 1 548748.333509088 4909127.21470469 F
McK18 D82510 1 546853.582905309 4907409.42348894 F
McK18 D82510 1 546386.77402015 4907395.19871476 F
McK18 D82510 1 547094.891115832 4907223.67615702 F
McK18 D82510 1 547192.442610412 4906421.08325299 F
McK18 D82510 1 545985.697463789 4906810.86440706 F
McK18 D82510 1 548331.222953486 4906699.7333862 F
McK18 D82510 1 547769.025737022 4905992.52325686 F
McK18 D82522 1 574719.079807773 4891702.4558636 F
McK18 D82522 1 574768.420437591 4892376.63198758 F
McK18 D82522 1 574787.310152862 4892326.09169663 F
McK18 D82522 1 574674.862376085 4892620.97955023 F
McK18 D82522 1 574327.486078101 4892413.07552708 F
McK18 D82522 1 574776.926465057 4892645.62400109 F
McK18 D82522 1 574874.992130579 4892149.81894475 F
McK18 D82522 1 574331.474283529 4892145.31459445 F
McK18 D82522 1 573375.530409474 4892055.54443345 F
McK18 D82522 1 571157.545421525 4891771.27014621 F
McK18 D82522 1 574020.374235388 4891836.56131946 F
McK18 D82522 1 574734.698442033 4892002.94347738 F
McK18 D82522 1 574741.634459401 4892339.89098695 F
McK18 D82522 1 577149.783655135 4897837.33403248 F
McK18 D82522 1 576897.833751103 4897948.27405996 F
McK18 D82522 1 576245.199643451 4896771.58003607 F
McK18 D82522 1 575796.962564032 4897305.5274043 F
McK18 D82522 1 577135.632409183 4898455.80638961 F
McK18 D82522 1 576972.487426986 4897954.11533317 F
McK18 D82522 1 575593.053851111 4897175.49090467 F
McK18 D82522 1 575794.100602398 4896792.61489048 F
McK18 D82522 1 576269.826298269 4897562.06580334 F
McK18 D82522 1 575713.334400615 4896734.43914432 F
McK18 D82522 1 577717.579995095 4898549.79250624 F
McK18 D82522 1 581551.840317533 4908171.33727036 F
McK18 D82522 1 577830.893335116 4901283.79744922 F
McK18 D82522 1 577898.017460948 4900684.7368794 F
McK18 D82522 1 577317.467045488 4900954.90611327 F
McK18 D82522 1 577711.997603618 4900917.51470108 F
McK18 D82522 1 577261.865217691 4897996.67615689 F
McK18 D82522 1 576342.2508407 4898681.38486331 F
McK18 D82522 1 578291.938886137 4899814.36069884 F
McK18 D82522 1 578381.501207547 4899829.6947899 F
McK18 D82522 1 578166.230263787 4899502.74493144 F
McK18 D82522 1 578137.732350844 4899502.52741587 F
McK18 D82522 1 577948.949118596 4899482.75032781 F
McK18 D82522 1 577375.119968178 4899586.41924766 F
McK18 D82522 1 577569.573622119 4899720.70152652 F
McK18 D82522 1 577325.193075285 4900283.13299118 F
McK18 D82522 1 577294.554939804 4900274.43996683 F
McK18 D82522 1 576924.016304508 4900205.54950966 F
McK18 D82522 1 576119.369926931 4899784.88538018 F
McK18 D82522 1 576674.883216337 4899605.13102644 F
McK18 D82522 1 576604.025004335 4899574.03113865 F
McK18 D82522 1 576823.067510036 4899687.62701268 F
McK18 D82522 1 578016.917609461 4899329.47872057 F
McK18 D82522 1 577215.732886351 4899034.96354198 F
McK18 D82522 1 576664.510337958 4900797.73175337 F
McK18 D82522 1 576899.755486943 4900065.63780807 F
McK18 D82522 1 576713.623177962 4899807.55379366 F
McK18 D82522 1 576612.337392416 4899517.35110012 F
McK18 D82522 1 576560.885672284 4899091.40473096 F
McK18 D82522 1 575433.332225112 4897372.43216661 F
McK18 D82522 1 575719.320212323 4897920.5220227 F
McK18 D82522 1 575785.944298242 4896893.57685778 F
McK18 D82522 1 577017.051846712 4897607.61054344 F
McK18 D82522 1 576172.970938575 4897342.84208289 F
McK18 D82522 1 580024.600720472 4899485.87297954 F
McK18 D82522 1 579991.376181396 4899683.8624251 F
McK18 D82522 1 579875.443600994 4899178.50237111 F
McK18 D82522 1 579967.572415143 4898586.99642852 F
McK18 D82522 1 579091.702882083 4899255.30665347 F
McK18 D82522 1 577655.144119191 4898220.2645397 F
McK18 D82522 1 582440.710969404 4895054.61497563 F
McK18 D82522 1 582163.512722912 4894724.50302758 F
McK18 D82532 1 533113.294036472 4908019.45739488 F
McK18 D82532 1 532921.422848075 4906698.00619027 F
McK18 D82532 1 532380.454287093 4907994.31579662 F
McK18 D82532 1 531474.771560773 4908131.17176506 F
McK18 D82532 1 531457.513257828 4908600.82153549 F
McK18 D82532 1 531267.080235852 4908043.41316147 F
McK18 D82532 1 530205.008712577 4908536.75450766 F
McK18 D82532 1 530844.871165345 4908827.83106665 F
McK18 D82532 1 531373.507474133 4907876.78579949 F
McK18 D82532 1 533004.455216858 4906640.96459948 F
McK18 D82532 1 534075.528377217 4906982.16469184 F
McK18 D82532 1 533413.958015749 4906265.6045684 F
McK18 D82532 1 533039.860878716 4906842.53672382 F
McK18 D82532 1 532943.207842329 4907909.8093661 F
McK18 D82532 1 532355.248358275 4907644.78754564 F
McK18 D82532 1 532374.138851069 4907591.71965885 F
McK18 D82532 1 532651.204536495 4907182.97922923 F
McK18 D82532 1 533232.43536772 4906894.88539388 F
McK18 D82532 1 532706.348067549 4908036.35879789 F
McK18 D82532 1 532111.488712484 4907359.78475317 F
McK18 D82532 1 532190.169841216 4907130.49815516 F
McK18 D82532 1 532170.821504392 4907195.62721548 F
McK18 D82532 1 532072.319446102 4907460.23919912 F
McK18 D82532 1 532048.421469885 4907437.17357442 F
McK18 D82532 1 532342.489905021 4907962.31546212 F
McK18 D82532 1 532932.735822748 4907821.60590597 F
McK18 D82532 1 533430.688536119 4908311.36155564 F
McK18 D82532 1 533075.120022855 4908070.60398762 F
McK18 D82532 1 533032.932313784 4909163.80084357 F
McK18 D82532 1 532827.54890276 4907912.49332146 F
McK18 D82532 1 533822.907555851 4908196.09251275 F
McK18 D82532 1 532987.143247124 4907600.1593987 F
McK18 D82532 1 532800.491153737 4907822.35185515 F
McK18 D82532 1 532940.679161001 4907800.7856594 F
McK18 D82532 1 532811.594749399 4907997.97584889 F
McK18 D82532 1 533115.169928035 4908052.11244404 F
McK18 D82532 1 532815.14681993 4908513.5133621 F
McK18 D82532 1 532864.221197894 4908451.74554313 F
McK18 D82532 1 533195.477738199 4908231.85365577 F
McK18 D82532 1 533116.331493446 4908258.84388609 F
McK18 D82532 1 532808.481475868 4908508.70359237 F
McK18 D82532 1 532879.689295054 4907798.50151898 F
McK18 D82532 1 532132.762063459 4907415.52760406 F
McK18 D82532 1 532810.560485355 4907864.03402454 F
McK18 D82532 1 534194.461789262 4907614.8364683 F
McK18 D82532 1 533067.662490683 4908383.1594036 F
McK18 D82532 1 533185.162312911 4908269.10098192 F
McK18 D82532 1 532734.278895521 4908593.94983116 F
McK18 D82532 1 532922.46800508 4908497.20256802 F
McK18 D82532 1 533135.040265559 4908225.2156721 F
McK18 D82532 1 533350.787241409 4908114.34693661 F
McK18 D82532 1 532870.996878157 4908491.70071708 F
McK18 D82532 1 533517.690158432 4907973.14389531 F
McK18 D82532 1 534023.939509509 4908811.49308666 F
McK18 D82532 1 531297.489874859 4907344.11984509 F
McK18 D82532 1 531190.837445332 4907574.98291928 F
McK18 D82532 1 531483.405221348 4908108.35372941 F
McK18 D82532 1 529584.1313552 4910432.83857534 F
McK18 D82532 1 529213.014665595 4910669.48402528 F
McK18 D82532 1 529461.349894265 4910867.58307651 F
McK18 D82532 1 529707.877198164 4910487.23907834 F
McK18 D82532 1 529358.254599466 4909086.40261237 F
McK18 D82532 1 530230.985496241 4908757.32848103 F
McK18 D82532 1 533566.956575127 4906651.73568309 F
McK18 D82532 1 532819.589414345 4907892.14849124 F
McK18 D82533 1 538325.607157656 4900718.17970003 F
McK18 D82533 1 538787.829955303 4901309.51793693 F
McK18 D82533 1 540265.996830906 4901678.79231006 F
McK18 D82533 1 540535.36542632 4901243.39741999 F
McK18 D82533 1 540502.831566524 4901513.01415885 F
McK18 D82533 1 540193.724451236 4901435.26696219 F
McK18 D82533 1 540477.276726521 4901493.13999851 F
McK18 D82533 1 541191.966415752 4901094.53876707 F
McK18 D82533 1 542851.114037095 4901602.59662912 F
McK18 D82533 1 542331.240949479 4902877.50115412 F
McK18 D82533 1 541485.916220628 4901375.90871129 F
McK18 D82533 1 541290.304681126 4901489.20506266 F
McK18 D82533 1 541274.243203825 4901148.65137935 F
McK18 D82533 1 541880.469450035 4900997.42270718 F
McK18 D82533 1 542271.714392552 4899668.39309881 F
McK18 D82533 1 542313.527382883 4899639.93823628 F
McK18 D82533 1 545096.067143479 4898944.34646899 F
McK18 D82533 1 544946.811231507 4897853.52623082 F
McK18 D82533 1 545147.942973915 4897862.56082402 F
McK18 D82533 1 544545.498022256 4897810.58953064 F
