# Session DeviceID Occasion X Y Sex
McK19 D82510 1 548935.726458198 4908826.81996131 F
McK19 D82510 1 548956.525218722 4908965.6376921 F
McK19 D82510 1 548824.570644277 4909060.85765471 F
McK19 D82510 1 548816.818942646 4908936.23392022 F
McK19 D82510 1 549044.90612369 4909226.97337752 F
McK19 D82510 1 548172.576567049 4908506.604891 F
McK19 D82510 1 547115.507462655 4908027.08832843 F
McK19 D82510 1 546796.40180742 4907595.75042087 F
McK19 D82510 1 548694.507622273 4905218.88673677 F
McK19 D82510 1 548972.336861689 4904942.36024472 F
McK19 D82510 1 549171.50305373 4905572.20024124 F
McK19 D82510 1 547876.191080184 4905094.14901554 F
McK19 D82510 1 550308.553951796 4907805.32208779 F
McK19 D82510 1 549134.174619628 4906922.46669194 F
McK19 D82510 1 548988.224384847 4906897.83399289 F
McK19 D82510 1 548748.980907423 4907311.14241118 F
McK19 D82510 1 548939.518758817 4907367.73912458 F
McK19 D82510 1 548873.466775228 4907310.59417293 F
McK19 D82510 1 548940.430774683 4907331.12274727 F
McK19 D82510 1 548805.652869163 4907189.09903742 F
McK19 D82510 1 548811.472408488 4907349.68687833 F
McK19 D82510 1 548898.399731962 4907264.31563563 F
McK19 D82510 1 548575.197923733 4907385.20617079 F
McK19 D82510 1 548745.960867281 4907214.51334749 F
McK19 D82510 1 547862.919180476 4907604.36947263 F
McK19 D82510 1 546617.240521744 4907396.07107475 F
McK19 D82510 1 546609.481827379 4907493.29946924 F
McK19 D82510 1 548745.695975557 4907136.63297328 F
McK19 D82510 1 547983.825972699 4908147.1937896 F
McK19 D82510 1 547796.965432709 4908105.59180311 F
McK19 D82510 1 548299.127639583 4906929.92092234 F
McK19 D82510 1 547777.546551261 4904895.33973727 F
McK19 D82510 1 548117.127781758 4905065.55796597 F
McK19 D82510 1 548841.977283023 4907225.72680594 F
McK19 D82510 1 548076.423053916 4909636.17413376 F
McK19 D82510 1 549611.796005436 4909826.54579629 F
McK19 D82510 1 549655.957764881 4908916.11757425 F
McK19 D82510 1 546048.460995262 4907248.65967621 F
McK19 D82510 1 546955.030840904 4907367.19652106 F
McK19 D82510 1 547514.44238818 4906724.29622538 F
McK19 D82510 1 545566.268717932 4907222.3554464 F
McK19 D82510 1 548405.733313495 4906723.30016581 F
McK19 D82510 1 547902.621345281 4906344.94576979 F
McK19 D82522 1 574765.762968751 4891706.59707537 F
McK19 D82522 1 574765.313104655 4892334.97264871 F
McK19 D82522 1 574684.57265638 4892569.83476644 F
McK19 D82522 1 574780.75584106 4892644.88998226 F
McK19 D82522 1 574848.811230149 4892116.77248297 F
McK19 D82522 1 572869.992704914 4892424.15461653 F
McK19 D82522 1 572754.595066062 4892413.76682604 F
McK19 D82522 1 574855.403980304 4892453.83859876 F
McK19 D82522 1 574741.634459401 4892339.89098695 F
McK19 D82522 1 577304.627960032 4897996.13578295 F
McK19 D82522 1 576853.700959781 4897997.55756252 F
McK19 D82522 1 576238.374741714 4897448.94622468 F
McK19 D82522 1 575818.326239117 4897278.96885981 F
McK19 D82522 1 577082.276272737 4897785.38432874 F
McK19 D82522 1 575616.442489748 4896632.82120284 F
McK19 D82522 1 577151.941989476 4897895.59180219 F
McK19 D82522 1 577462.878746761 4901015.41159097 F
McK19 D82522 1 577828.25010565 4900897.3542037 F
McK19 D82522 1 576552.873857346 4898694.11588057 F
McK19 D82522 1 578303.245084381 4899720.17013813 F
McK19 D82522 1 579452.238517553 4900369.148964 F
McK19 D82522 1 578137.732350844 4899502.52741587 F
McK19 D82522 1 577594.624313705 4899508.10779608 F
McK19 D82522 1 577551.122343029 4899605.71760193 F
McK19 D82522 1 577369.941735992 4900253.78933142 F
McK19 D82522 1 577318.18679714 4900326.09717588 F
McK19 D82522 1 577127.906625315 4900390.63061846 F
McK19 D82522 1 576801.79337585 4899789.97889624 F
McK19 D82522 1 576543.165659859 4899691.19595359 F
McK19 D82522 1 576555.766357512 4899596.1516278 F
McK19 D82522 1 576439.56319282 4899668.04720661 F
McK19 D82522 1 575392.851055174 4897813.57234757 F
McK19 D82522 1 575745.502094881 4896896.6646578 F
McK19 D82522 1 576271.962128898 4897535.00745731 F
McK19 D82522 1 580333.23641927 4899392.26626513 F
McK19 D82522 1 579888.320115855 4899505.29572472 F
McK19 D82522 1 580256.293808279 4899409.83148705 F
McK19 D82522 1 579996.840680103 4898499.52610628 F
McK19 D82522 1 577154.293152768 4897982.26818904 F
McK19 D82532 1 532441.393236104 4908358.42827304 F
McK19 D82532 1 531626.232934731 4907355.73163622 F
McK19 D82532 1 531542.699315554 4908066.58584613 F
McK19 D82532 1 531259.932986009 4907920.58365497 F
McK19 D82532 1 530294.460435757 4908608.65738301 F
McK19 D82532 1 530747.14615835 4908811.54220852 F
McK19 D82532 1 531389.360174837 4907057.63815069 F
McK19 D82532 1 533018.870093742 4906853.60505323 F
McK19 D82532 1 533110.700346781 4906646.44446327 F
McK19 D82532 1 532376.440776909 4907584.200045 F
McK19 D82532 1 532377.593946108 4907560.66856981 F
McK19 D82532 1 532140.322127834 4907329.48025486 F
McK19 D82532 1 532044.406171353 4907451.03849403 F
McK19 D82532 1 533042.778227557 4907676.2170056 F
McK19 D82532 1 532933.458841012 4907883.86820454 F
McK19 D82532 1 533174.96076917 4908027.78976405 F
McK19 D82532 1 533067.447439037 4908018.94767087 F
McK19 D82532 1 532783.269277509 4907971.45297645 F
McK19 D82532 1 532994.645689543 4907864.33832402 F
McK19 D82532 1 533051.228543565 4908375.4564092 F
McK19 D82532 1 533100.594196492 4908318.223763 F
McK19 D82532 1 533048.711563874 4908259.80131645 F
McK19 D82532 1 533065.104146749 4908376.63734479 F
McK19 D82532 1 533019.731847524 4908344.28452299 F
McK19 D82532 1 533028.205959916 4908338.28473486 F
McK19 D82532 1 533201.279208499 4908188.52972002 F
McK19 D82532 1 532792.959570415 4908546.48078402 F
McK19 D82532 1 533727.956389984 4908891.87868101 F
McK19 D82532 1 533090.505215038 4908329.76913957 F
McK19 D82532 1 532829.237159005 4908463.94375472 F
McK19 D82532 1 531538.838927802 4907471.66239754 F
