OBJECTID,Transect,Elevation,UTM_X,UTM_Y,Date,,,,,
22022,MC01T3,533.56,505990.526,4906382.069,6/13/2019,4:40:00,0:00:00,40,12:00 AM,
22023,MC01T3,534,505989.8873,4906382.735,6/13/2019,4:40:00,0:00:00,40,12:00 AM,0
22024,MC01T3,533,505989.8873,4906382.735,6/13/2019,4:40:00,0:00:00,40,12:00 AM,0
22025,MC01T3,542,505955.4083,4906410.25,6/13/2019,4:41:00,0:00:00,41,12:00 AM,1
22026,MC01T3,550,505922.6895,4906431.769,6/13/2019,4:42:00,0:00:00,42,12:00 AM,1
22027,MC01T3,559,505873.4535,4906462.714,6/13/2019,4:43:00,0:00:00,43,12:00 AM,1
22028,MC01T3,559,505829.4517,4906437.794,6/13/2019,4:44:00,0:00:00,44,12:00 AM,1
22029,MC01T3,568,505800.7872,4906384.897,6/13/2019,4:45:00,0:00:00,45,12:00 AM,1
22030,MC01T3,573,505769.6376,4906345.772,6/13/2019,4:46:00,0:00:00,46,12:00 AM,1
22031,MC01T3,584,505768.6366,4906305.229,6/13/2019,4:47:00,0:00:00,47,12:00 AM,1
22032,MC01T3,579,505733.5804,4906263.767,6/13/2019,4:48:00,0:00:00,48,12:00 AM,1
22033,MC01T3,592,505722.8201,4906256.094,6/13/2019,4:49:00,0:00:00,49,12:00 AM,1
22034,MC01T3,605.77,505687.7724,4906204.303,6/13/2019,4:50:00,0:00:00,50,12:00 AM,1
22035,MC01T3,604,505691.0376,4906209.859,6/13/2019,4:50:00,0:00:00,50,12:00 AM,0
22036,MC01T3,605,505686.8946,4906204.857,6/13/2019,4:50:00,0:00:00,50,12:00 AM,0
22037,MC01T3,611,505688.3642,4906165.761,6/13/2019,4:51:00,0:00:00,51,12:00 AM,1
22038,MC01T3,616,505672.6076,4906124.983,6/13/2019,4:52:00,0:00:00,52,12:00 AM,1
22039,MC01T3,621,505635.5552,4906084.409,6/13/2019,4:53:00,0:00:00,53,12:00 AM,1
22040,MC01T3,622,505624.4431,4906021.531,6/13/2019,4:54:00,0:00:00,54,12:00 AM,1
22041,MC01T3,621,505617.7898,4905967.433,6/13/2019,4:55:00,0:00:00,55,12:00 AM,1
22042,MC01T3,621,505599.8859,4905918.323,6/13/2019,4:56:00,0:00:00,56,12:00 AM,1
22043,MC01T3,625,505592.0237,4905878.441,6/13/2019,4:57:00,0:00:00,57,12:00 AM,1
22044,MC01T3,629,505592.78,4905833.456,6/13/2019,4:58:00,0:00:00,58,12:00 AM,1
22045,MC01T3,633,505615.7893,4905789.158,6/13/2019,4:59:00,0:00:00,59,12:00 AM,1
22046,MC01T3,637,505647.4994,4905737.424,6/13/2019,5:00:00,0:00:00,0,12:00 AM,-59
22047,MC01T3,639.95,505657.4855,4905719.217,6/13/2019,5:00:00,0:00:00,0,12:00 AM,0
22048,MC01T3,640,505657.0862,4905719.772,6/13/2019,5:00:00,0:00:00,0,12:00 AM,0
22049,MC01T3,635,505679.1155,4905702.686,6/13/2019,5:01:00,0:00:00,1,12:00 AM,1
22050,MC01T3,624,505704.8104,4905689.823,6/13/2019,5:02:00,0:00:00,2,12:00 AM,1
22051,MC01T3,613,505730.9024,4905679.072,6/13/2019,5:03:00,0:00:00,3,12:00 AM,1
22052,MC01T3,618,505786.9874,4905666.015,6/13/2019,5:04:00,0:00:00,4,12:00 AM,1
22053,MC01T3,612,505747.1003,4905672.2,6/13/2019,5:05:00,0:00:00,5,12:00 AM,1
22054,MC01T3,618,505742.3288,4905655.979,6/13/2019,5:06:00,0:00:00,6,12:00 AM,1
22055,MC01T3,622,505732.9225,4905649.306,6/13/2019,5:07:00,0:00:00,7,12:00 AM,1
22056,MC01T3,625,505724.8622,4905654.075,6/13/2019,5:08:00,0:00:00,8,12:00 AM,1
22057,MC01T3,630,505700.9132,4905676.936,6/13/2019,5:09:00,0:00:00,9,12:00 AM,1
22058,MC01T3,637,505685.6789,4905676.478,6/13/2019,5:10:00,0:00:00,10,12:00 AM,1
22059,MC01T3,639.94,505681.4505,4905677.585,6/13/2019,5:10:00,0:00:00,10,12:00 AM,0
22060,MC01T3,640,505680.7321,4905678.14,6/13/2019,5:10:00,0:00:00,10,12:00 AM,0
22061,MC01T3,643,505672.6771,4905676.911,6/13/2019,5:11:00,0:00:00,11,12:00 AM,1
22062,MC01T3,634,505670.6029,4905677.353,6/13/2019,5:12:00,0:00:00,12,12:00 AM,1
22063,MC01T3,632,505669.7246,4905678.352,6/13/2019,5:15:00,0:00:00,15,12:00 AM,3
22064,MC01T3,638,505665.7915,4905706.895,6/13/2019,5:16:00,0:00:00,16,12:00 AM,1
22065,MC01T3,631,505648.4388,4905757.974,6/13/2019,5:17:00,0:00:00,17,12:00 AM,1
22066,MC01T3,638,505616.578,4905799.599,6/13/2019,5:18:00,0:00:00,18,12:00 AM,1
22067,MC01T3,644,505596.354,4905851.342,6/13/2019,5:19:00,0:00:00,19,12:00 AM,1
22068,MC01T3,631,505599.5716,4905912.769,6/13/2019,5:20:00,0:00:00,20,12:00 AM,1
22069,MC01T3,629,505598.3687,4905920.432,6/13/2019,5:20:00,0:00:00,20,12:00 AM,0
22070,MC01T3,629.25,505599.0873,4905919.544,6/13/2019,5:20:00,0:00:00,20,12:00 AM,0
22071,MC01T3,621,505622.829,4905950.776,6/13/2019,5:21:00,0:00:00,21,12:00 AM,1
22072,MC01T3,629,505633.862,4906012.987,6/13/2019,5:22:00,0:00:00,22,12:00 AM,1
22073,MC01T3,634,505650.9491,4906083.756,6/13/2019,5:23:00,0:00:00,23,12:00 AM,1
22074,MC01T3,621,505689.03,4906133.883,6/13/2019,5:24:00,0:00:00,24,12:00 AM,1
22075,MC01T3,621,505694.7965,4906197.978,6/13/2019,5:25:00,0:00:00,25,12:00 AM,1
22076,MC01T3,597,505722.504,4906252.761,6/13/2019,5:26:00,0:00:00,26,12:00 AM,1
22077,MC01T3,583,505770.1534,4906303.564,6/13/2019,5:27:00,0:00:00,27,12:00 AM,1
22078,MC01T3,578,505782.795,4906348.227,6/13/2019,5:28:00,0:00:00,28,12:00 AM,1
22079,MC01T3,581,505807.9606,4906389.902,6/13/2019,5:29:00,0:00:00,29,12:00 AM,1
22080,MC01T3,569,505844.9969,4906445.472,6/13/2019,5:30:00,0:00:00,30,12:00 AM,1
22081,MC01T3,569.6,505862.2132,4906457.15,6/13/2019,5:30:00,0:00:00,30,12:00 AM,0
22082,MC01T3,569,505861.4153,4906457.594,6/13/2019,5:30:00,0:00:00,30,12:00 AM,0
22083,MC01T3,560,505893.493,4906439.073,6/13/2019,5:31:00,0:00:00,31,12:00 AM,1
22084,MC01T3,562,505944.3246,4906407.907,6/13/2019,5:32:00,0:00:00,32,12:00 AM,1
22085,MC01T3,553,505992.4444,4906377.406,6/13/2019,5:33:00,0:00:00,33,12:00 AM,1
22086,MC01T3,562,506057.4644,4906355.806,6/13/2019,5:34:00,0:00:00,34,12:00 AM,1
22087,MC01T3,550,506118.2392,4906354.197,6/13/2019,5:35:00,0:00:00,35,12:00 AM,1
22088,MC01T3,539.91,506144.6408,4906351.334,6/13/2019,5:35:00,0:00:00,35,12:00 AM,0
18424,MC02T1,378.18,515254.8775,4906782.209,5/15/2019,8:24:00,0:00:00,24,12:00 AM,5
18425,MC02T1,383,515252.4933,4906778.649,5/15/2019,8:24:00,0:00:00,24,12:00 AM,0
18426,MC02T1,381,515253.1714,4906761.434,5/15/2019,8:24:00,0:00:00,24,12:00 AM,0
18427,MC02T1,369,515277.1612,4906699.621,5/15/2019,8:25:00,0:00:00,25,12:00 AM,1
