# V1 V2 V3 V4
McK18 1 1 17
McK18 2 1 8
McK18 3 1 8
McK18 4 1 8
McK18 5 1 433
McK18 6 1 433
McK18 7 1 340
McK18 8 1 358
McK18 9 1 237
McK18 10 1 237
McK18 11 1 8
McK18 12 1 8
McK18 13 1 433
McK18 14 1 4
McK19 25 1 679
McK19 25 1 564
McK19 25 1 566
McK19 26 1 566
McK19 27 1 566
McK19 27 1 565
McK19 28 1 566
McK19 29 1 956
McK19 29 1 596
McK19 30 1 596
McK19 31 1 596
McK19 32 1 648
McK19 33 1 945
McK19 34 1 679
McK19 35 1 564
McK19 36 1 564
McK19 37 1 566
McK19 38 1 566
McK19 39 1 566
McK19 40 1 667
McK19 41 1 956
McK19 42 1 596
McK19 43 1 600
McK19 44 1 822
McK19 45 1 823
McK19 46 1 648
McK19 47 1 649
McK19 48 1 649
